place, coupon
Mama Thai Białystok,-10% na całe zamówienie
Nocne Pieczenie Białystok,Śniadanie gratis
Shrimp House Białystok,Lemoniada lub frytki za 1 zł
Well Done Kraków,10% zniżki na całe menu
Ikea Kraków,Klopsiki + zupa za 10 zł
Pomylone Gary Lublin,-20% na całe menu
Parownia Dim Sum Bar Lublin,20% rabatu
Dragon Dim Sum Poznań,-50% na drugi makaron z woka
Gołe Baby Poznań,200g frytek gratis
Kwiaciarnia Vege Bistro Poznań,Drugi zestaw lunch -50%
Thanh Ha Poznań,-10% na całe menu
La Pasta Fresca Poznań,Makaron własnego wyrobu gratis*
Pyrabar Poznań,Dwa posiłki za pół ceny
Talerzyki Poznań,-10% na całe menu
Kura Warzyw Poznań,20% zniżki na zestaw kebap lemoniada i frytki
Krowarzywa Warszawa,Lemoniada gratis